asset_id,filename_or_version,creator_or_source,source_reference,asset_type,ownership_or_license,permitted_media,territory,duration,attribution,model_property_or_minor_release,ai_tool_model_and_date,prompt_or_reference_inputs,material_edits,synthetic_disclosure,restrictions,reviewer,approval_status,checksum,release_state
ast-veridanth-concept-v4,public/work/veridanth-concept.webp,Kingxford / Imagegen,creative/production-manifest.json,photoreal synthetic conceptual editorial photograph,Generated for Kingxford with Imagegen; provider terms apply; no third-party source image was used as an input,Kingxford portfolio website and repository,Global,Project life; re-review upon material context or policy change,Kingxford; synthetic conceptual editorial image,"Fictional adults; no source likeness or real-person identity intended; no employment, client, participant, or endorsement claim",Imagegen; 2026-07-30,"Operational Realism: a multidisciplinary team connects research, design, engineering, and delivery around one central brief in a grounded professional studio; no generated UI or readable text",PNG master converted to WebP quality 94; no compositional edit,"Synthetic conceptual editorial imagery; clearly disclosed; not documentary evidence, a measured outcome, or literal product UI","Do not imply that the scene is a Veridanth interface, real team, facility, project event, endorsement, or independent validation of product outcomes",Kingxford,approved as disclosed conceptual editorial imagery,3438201e8273a3497282572c58a821420c48394068d6f95f7f4c89d382b29b9c,inactive_historical
ast-psyche-atlas-concept-v4,public/work/psyche-atlas-concept.webp,Kingxford / Imagegen,creative/production-manifest.json,photoreal synthetic conceptual editorial photograph,Generated for Kingxford with Imagegen; provider terms apply; no third-party source image was used as an input,Kingxford portfolio website and repository,Global,Project life; re-review upon material context or policy change,Kingxford; synthetic conceptual editorial image,"Fictional adult; no source likeness or real-person identity intended; no employment, client, participant, or endorsement claim",Imagegen; 2026-07-30,"Operational Realism: an adult in a quiet reading room arranges translucent atlas-like assessment materials for structured self-reflection; no clinical, diagnostic, mystical, or generated-interface cues",PNG master converted to WebP quality 94; no compositional edit,"Synthetic conceptual editorial imagery; clearly disclosed; not documentary evidence, a measured outcome, or literal product UI","Do not present the scene or product as clinical diagnosis, medical advice, a substitute for professional care, a real participant, or proof of an assessment outcome",Kingxford,approved as disclosed conceptual editorial imagery,86e236f86c84032242af001b56947387405ae313d9a743f019a31b6dcab78c84,inactive_historical
ast-ccai-global-concept-v4,public/work/ccai-global-concept.webp,Kingxford / Imagegen,creative/production-manifest.json,photoreal synthetic conceptual editorial photograph,Generated for Kingxford with Imagegen; provider terms apply; no third-party source image was used as an input,Kingxford portfolio website and repository,Global,Project life; re-review upon material context or policy change,Kingxford; synthetic conceptual editorial image,"Fictional adults; no source likeness or real-person identity intended; no employment, client, participant, or endorsement claim",Imagegen; 2026-07-30,"Operational Realism: three integrity and infrastructure researchers examine a civic-project model through crossing transparent evidence planes; no crime-thriller imagery, generated UI, or readable claims",PNG master converted to WebP quality 94; no compositional edit,"Synthetic conceptual editorial imagery; clearly disclosed; not documentary evidence, a measured outcome, or literal product UI","Do not present the scene as a real corruption case, investigation, facility, research team, project record, external endorsement, or independent validation",Kingxford,approved as disclosed conceptual editorial imagery,b059f82f11ebb3a0496e97dd505f680fbbb363acc16459cfdab5b84080f01ea5,inactive_historical
ast-grandmaster-concept-v4,public/work/grandmaster-concept.webp,Kingxford / Imagegen,creative/production-manifest.json,photoreal synthetic conceptual editorial photograph,Generated for Kingxford with Imagegen; provider terms apply; no third-party source image was used as an input,Kingxford portfolio website and repository,Global,Project life; re-review upon material context or policy change,Kingxford; synthetic conceptual editorial image,"Fictional adults; no source likeness or real-person identity intended; no employment, client, participant, or endorsement claim",Imagegen; 2026-07-30,"Operational Realism: two adults learn chess in a refined strategy atelier with an optical tutor and physical analysis sheet; explicitly excludes casino, betting, chips, money, prizes, and other gambling cues",PNG master converted to WebP quality 94; no compositional edit,"Synthetic conceptual editorial imagery; clearly disclosed; not documentary evidence, a measured outcome, or literal product UI","Do not imply gambling, wagering, ownership of third-party game marks or rulesets, a literal GrandMaster interface, real participants, or measured learning outcomes",Kingxford,approved as disclosed conceptual editorial imagery,015fb9597202c141322ba8c3dfb1a5c8bf56ea6e806c907f244ea3ed04433501,inactive_historical
ast-nkosuo-concept-v4,public/work/nkosuo-concept.webp,Kingxford / Imagegen,creative/production-manifest.json,photoreal synthetic conceptual editorial photograph,Generated for Kingxford with Imagegen; provider terms apply; no third-party source image was used as an input,Kingxford portfolio website and repository,Global,Project life; re-review upon material context or policy change,Kingxford; synthetic conceptual editorial image,"Fictional adult; no source likeness or real-person identity intended; no employment, client, participant, or endorsement claim",Imagegen; 2026-07-30,"Operational Realism: a sober market researcher cross-checks a report, source dossier, and obscured phone against abstract chart light; no advice, wealth, currency, profit, or trading-floor cues",PNG master converted to WebP quality 94; no compositional edit,"Synthetic conceptual editorial imagery; clearly disclosed; not documentary evidence, a measured outcome, or literal product UI","Information-only context; do not imply investment advice, live-market freshness, guaranteed returns, regulator endorsement, a literal Nkosuo interface, a real analyst, or a measured financial outcome",Kingxford,approved as disclosed conceptual editorial imagery,b6f8ebd2073b5e63d87d138476a7d858855cd528d8be2761950ff99d59a2696f,inactive_historical
ast-aceplore-photo-v2,public/work/aceplore-real.webp,GN Group / Unsplash,https://unsplash.com/photos/man-working-on-architectural-model-at-desk-WUY0W2RSiBw,documentary studio photograph,Free to use under the Unsplash License as stated on the source page,Kingxford portfolio website and repository,Global,Project life; re-review if license or source status changes,GN Group / Unsplash,Adult subject shown; model/property-release status not independently verified; no endorsement implied,none,Reference selected for real working-studio direction,"Cropped, resized, and sharpened to 2400x1600 WebP",Not synthetic,Use as contextual editorial imagery only; do not imply the subject worked on Aceplore,Kingxford,approved with recorded source,a885100da422a98043b0d4803451072b0e74bbb71c6724f78a542f4d5d34acde,inactive_historical
ast-value-m-photo-v2,public/work/value-m-real.webp,"Jonathan Borba / Unsplash","https://unsplash.com/photos/architectural-blueprints-and-a-laptop-on-a-marble-desk-rn00OVh0gEI",documentary design-process photograph,"Free to use under the Unsplash License as stated on the source page","Kingxford portfolio website and repository",Global,"Project life; re-review if license or source status changes","Jonathan Borba / Unsplash","Property-release status not independently verified",none,"Reference selected for the active Intelligence cinematic plate","Cropped, resized, sharpened, and optimized to 2400x1600 WebP (quality 80)","Not synthetic","Contextual editorial imagery; do not imply the drawings, model, property, or process belong to kingXford & Co or document a kingXford & Co engagement",Kingxford,"approved with recorded source",58f4090760a8643984d3bc5dfc1ce135072a3a16c6d9e6691be41a8b5a543d6c,active
ast-elkings-photo-v2,public/work/elkings-college-real.webp,Maxx Sas / Unsplash,https://unsplash.com/photos/white-building-with-a-clock-tower-and-red-roof-GlWlvffqs0I,documentary campus photograph,Free to use under the Unsplash License as stated on the source page,Kingxford portfolio website and repository,Global,Project life; re-review if license or source status changes,Maxx Sas / Unsplash,University property shown; property-release and trademark status not independently verified,none,Reference selected for real campus direction,"Cropped, resized, and sharpened to 2400x1600 WebP",Not synthetic,Contextual editorial imagery only; no affiliation with or endorsement by the pictured university is implied,Kingxford,approved with recorded source,f8aa59795de5e304e0a7798a9141a1f2474271e2e47c23f9aa96a106c24b02ca,inactive_historical
ast-cinematic-arrival-v2,public/motion/kingxford-reality-arrival.webp,Declan Sun / Unsplash,https://unsplash.com/photos/steel-beams-of-a-modern-building-structure-CnWkn7-rAh8,documentary architectural photograph,Free to use under the Unsplash License as stated on the source page,Kingxford portfolio website and repository,Global,Project life; re-review if license or source status changes,Declan Sun / Unsplash,Property-release status not independently verified,none,Reference selected for the structural-X opening,Cropped and converted to 2560x1440 WebP,Not synthetic,Contextual brand imagery; no architectural ownership claim,Kingxford,approved with recorded source,a62caf16cbb935ca1367bbbda1ed8eb2ecc289635144191f081b717c9359afcc,inactive_historical
ast-cinematic-studio-v2,public/motion/kingxford-reality-studio.webp,Joshua Wann / Unsplash,https://unsplash.com/photos/a-dark-room-with-a-camera-and-lights-nue6Esmpk3M,documentary film-production photograph,Free to use under the Unsplash License as stated on the source page,Kingxford portfolio website and repository,Global,Project life; re-review if license or source status changes,Joshua Wann / Unsplash,Property-release status not independently verified,none,Reference selected for the Studio chapter,Cropped and converted to 2560x1440 WebP,Not synthetic,Contextual brand imagery; do not imply ownership of pictured equipment,Kingxford,approved with recorded source,6548a4c3d2612629c5eb53e16f9cc2f75f7b5e71b9b5b848d0fd8298ac3c8e42,inactive_historical
