deliverable_id,purpose,destination,audience,market,language,aspect_ratio,width,height,duration_ms,fps,resolution,container,codec,color_profile,alpha,audio_layout,audio_target,captions,safe_area,max_file_size,filename,source_master,status,verification_source,verification_date,checksum,notes
del-source-v2,Editable production source for the kingXford & Co platform,https://github.com/Emmanuelok/portfolio,kingXford & Co operational maintainers and authorized collaborators,Global,en,responsive,320 CSS px minimum,viewport-dependent,,,responsive,Git repository,"TypeScript, TSX, CSS, SVG, WebP, JSON, CSV, YAML",sRGB where applicable,mixed,none,not-applicable,not-applicable,Browser safe areas and logical focus order,not-specified,portfolio-source-v2,working repository,implementation,"Typecheck, lint, build, source diff, and repository inspection required",,,The personal-handle repository URL is retained only as a technically necessary operational destination; it must not be surfaced as public company identity. Do not mark delivered until the intended branch and commit are verified. Preserve package licenses and creative provenance.
del-web-production-v2,"Public responsive kingXford & Co intelligence, R&D, Media, and project experience",Vercel production URL pending,"Institutional leaders, research partners, founders, investors of capital or capability, public-interest organisations, complex-project sponsors, and informed readers",Global,en,responsive,320 CSS px minimum,viewport-dependent,,,responsive,web application over HTTPS,"HTML, CSS, JavaScript, WebP, SVG",sRGB,no,none,not-applicable,not-applicable,Respect viewport insets; no essential content under fixed controls,performance budget to be measured,kingxford-production,del-source-v2,pending verified deployment,"Successful Vercel deployment plus clean-state route, keyboard, responsive, console, and outbound-link inspection",,,"The first-screen and sitewide message must foreground intelligence, research and development, responsible AI, complex-problem and project delivery, and sustainable abundance. Active imagery uses only authentic public-product captures and source-recorded documentary photography. Published and unreleased project status must remain explicit."
del-project-covers-v3,Eight high-resolution portfolio covers: five disclosed photoreal conceptual editorial images and three licensed contextual photographs,public/work/*.webp,Public portfolio visitors,Global,en,3:2,1536–2400,1024–1600,,,responsive,WebP,VP8,sRGB,no,none,none,not-applicable,Preserve the central focal action through 3:2 and approximately 1.86:1 responsive crops; keep disclosure in adjacent HTML,1.5 MB per cover,project-slug-concept.webp or existing documentary filename,Five Imagegen masters and three licensed documentary photographs recorded in rights-provenance.csv,inactive historical; superseded by 2026-08-01 authentic-image reset,"File metadata, visual inspection at full and responsive crops, disclosure inspection, and rights reconciliation",2026-07-30,See creative/rights-provenance.csv,"Conceptual imagery is explicitly synthetic and illustrative; it must never be presented as documentary evidence, a measured outcome, or literal product UI. Generated readable text, interfaces, metrics, testimonials, and claims remain prohibited. Retained for audit history only; no active surface may reference this deliverable."
del-cinematic-plates-v3,Seven high-resolution plates for the native-scroll Kingxford cinematic and world cards: three licensed documentary sources plus four disclosed conceptual strategy-room and scientific-lab images,"public/motion/kingxford-reality-{arrival,studio}*.webp and public/motion/kingxford-{strategy-room,scientific-lab}*.webp",Public portfolio visitors,Global,en,mixed,1003–2560,941–2000,,,responsive,WebP,VP8,sRGB,no,none,none,not-applicable,"Keep people, equipment, architectural crossing, strategy activity, and scientific work legible behind copy",800 KB per plate,"kingxford-reality-*.webp or kingxford-{strategy-room,scientific-lab}*.webp",Three licensed photographs and four Imagegen masters recorded in rights-provenance.csv,inactive historical; superseded by 2026-08-01 authentic-image reset,"File metadata, visual inspection, reduced-motion and native-scroll walkthrough, and disclosure reconciliation",2026-07-30,See creative/rights-provenance.csv,"Strategy-room and scientific-lab plates are synthetic conceptual editorial imagery, not documentary evidence of Kingxford facilities or staff. CSS and Motion create the sequence; no short looping video or remote film dependency remains. Retained for audit history only; no active surface may reference this deliverable."
del-media-cover-v1,Disclosed photoreal conceptual editorial cover for How to Get Ahead in the AI Era,public/media/how-to-get-ahead-in-the-ai-era-concept.webp,Kingxford Media readers,Global,en,3:2,1536,1024,,,1536x1024,WebP,VP8,sRGB,no,none,none,not-applicable,Preserve the multidisciplinary team and physical workflow inside the central crop-safe region,1.5 MB,how-to-get-ahead-in-the-ai-era-concept.webp,Imagegen PNG master generated 2026-07-30,inactive historical; superseded by 2026-08-01 authentic-image reset,"File metadata, full-size and responsive visual inspection, visible figcaption and alt-text review",2026-07-30,d40bec4bfcfcb9aff9a70c12b32c8f1c249f7de861682c055df1dcd03d04e628,"Synthetic conceptual editorial imagery; not documentary evidence of a Kingxford team, facility, workflow, or measured AI outcome. Retained for audit history only; no active surface may reference this deliverable."
del-media-audio-v1,Optional narrated editions for Kingxford Media,No audio destination in this release,Kingxford Media readers,Global,en,not-applicable,,,,,not-applicable,future MP3 delivery plus archival lossless master,not shipped,not-applicable,n/a,future mono or stereo,editorial listening review required,Complete readable article remains the transcript,No player appears without an approved audio record,not specified,no file,creative/narration-policy.md,not shipped; optional architecture only,"Verify no player renders without approved audio; any future asset requires consent or licensed voice rights, disclosure, transcript alignment, editorial review, and end-to-end listening QA",2026-07-30,,"Do not ship a robotic placeholder, unreviewed synthesis, or unauthorized cloned voice."
del-identity-icon-v2,Compact original kingXford & Co X-Frame icon with a dominant X,Next.js application metadata and browser icon,Public platform visitors,Global,not-applicable,1:1,48,48,,,scalable,SVG file,XML vector,sRGB,yes,none,not-applicable,not-applicable,Maintain clear space at small size,not-specified,icon.svg,src/app/icon.svg,inactive historical; superseded by 2026-08-01 authentic-image reset,"Open SVG and inspect at 16px, 24px, 32px, monochrome, and dark/light browser contexts",2026-07-29,d977ee268c4f78ea73f6b09824ae8126461b93f927abaaa09a519c7cf0681040,Original two-beam X with over-under seam. Legal and trademark review not performed. Retained for audit history only; no active surface may reference this deliverable.
del-creative-system-v2,"Editable brief, brand, token, component, rights, review, and delivery records",creative/ in source repository,kingXford & Co and future authorized maintainers,Global,en,not-applicable,,,,,not-applicable,repository directory,"JSON, CSV, YAML",UTF-8,n/a,none,not-applicable,not-applicable,not-applicable,not-specified,creative-system-v2,creative/,implementation,"JSON parse, CSV column-count validation, YAML parse, manifest reconciliation, and human factual review",,,"The active system uses a restrained wordmark, documentary evidence direction, four published projects, four explicitly unreleased case studies, and inactive historical records for superseded generated or hybrid assets. Legal and formal accessibility review are explicitly not claimed."
del-media-sustainable-abundance-cover-v1,Disclosed photoreal conceptual editorial cover for Sustainable Abundance for All,public/media/sustainable-abundance-for-all-concept.webp,kingXford & Co Media readers,Global,en,3:2,1536,1024,,,1536x1024,WebP,VP8,sRGB,no,none,none,not-applicable,"Preserve the five fictional professionals, physical regional system model, clean-energy, transit, greenhouse, water-recycling, and subtle X cues inside the central crop-safe region",132738 bytes,sustainable-abundance-for-all-concept.webp,Imagegen output generated 2026-07-31 and recorded in creative/rights-provenance.csv,inactive historical; superseded by 2026-08-01 authentic-image reset,"File metadata, SHA-256 checksum, full-size and responsive visual inspection, visible disclosure, and alt-text review",2026-07-31,c45d79e255697dcf968eaf31cb7929049668f91b6a5233eb51610ebe0632d267,"Synthetic conceptual editorial imagery; not documentary evidence of kingXford & Co staff, a facility, a project, partnership, infrastructure system, or measured outcome. No statistics may be inferred from the image. Retained for audit history only; no active surface may reference this deliverable."
del-evidence-object-project-covers-v4,Eight distinct high-resolution Evidence Object covers that preserve authentic product-interface captures inside subject-specific generated editorial fields,"public/work/{veridanth,psyche-atlas,ccai-global,aceplore,grandmaster,nkosuo,elkings-college,value-m}-evidence-v2.webp",Public portfolio visitors,Global,en,3:2,2400,1600,,,2400x1600,WebP,VP8,sRGB,no,none,none,not-applicable,Keep the authentic interface evidence readable within central 3:2 and approximately 1.86:1 responsive crops; keep the generated field visibly secondary; preserve adjacent conceptual-editorial disclosure,1.5 MB per cover,project-slug-evidence-v2.webp,Seven public live-product captures plus one prior authentic Nkosuo brand/interface fragment; separately generated editorial fields recorded in creative/rights-provenance.csv,inactive historical; superseded by 2026-08-01 authentic-image reset,Verify exact file dimensions and SHA-256 values; inspect all eight full-size images and central responsive crops; confirm authentic interface crops contain no invented UI; confirm disclosure and purpose-based alt text,2026-07-31,See creative/rights-provenance.csv,"Supersedes del-project-covers-v3 on active product surfaces. Interface layers are authentic captures; generated surroundings are conceptual and must never be represented as screenshots, documentary settings, product outcomes, or independent validation. No people, fake UI, or generated text. Retained for audit history only; no active surface may reference this deliverable."
